SQL Statement which produced this data:
  select a.table_name, a.column_name, a.column_type, a.nativekeyname, d.EXTERNAL_TYPE, d.INTERNAL_FORMAT, d.EXTERNAL_FORMAT, 
d.EXTERNAL_WIDTH, a.na_allowed, d.NA_VALUE, d.UNIT, d.range, d.SHORT_DESCRIPT, d.LONG_DESCRIPT
from gmp2010.colassoc a, gmp2010.coldescript d 
where a.SCHEMA_NAME=d.SCHEMA_NAME and a.COLUMN_NAME=d.COLUMN_NAME and a.SCHEMA_NAME = 'GMP'
order by a.TABLE_NAME, a.COLUMN_POSITION

TABLE_NAME	COLUMN_NAME	COLUMN_TYPE	NATIVEKEYNAME	EXTERNAL_TYPE	INTERNAL_FORMAT	EXTERNAL_FORMAT	EXTERNAL_WIDTH	NA_ALLOWED	NA_VALUE	UNIT	RANGE	SHORT_DESCRIPT	LONG_DESCRIPT
algorithm	algorithmid	primary key	ownedid!	long	number(10)	i10	10	n	-1	-	-	-	-
algorithm	name	measurement data	-	string	varchar2(64)	a64	64	n	-	-	any character string up to column size	-	-
algorithm	version	measurement data	-	string	varchar2(64)	a64	64	n	-	-	any character string up to column size	-	-
algorithm	auth	measurement data	-	string	varchar2(64)	a64	64	n	-	-	any character string up to column size	-	-
algorithm	lddate	administrative data	-	string	timestamp(3)	a23:YYYY/MM/DD HH24:MI:SS.FF3	23	n	CURRENT_TIMESTAMP	-	-	-	-
cell	cellid	primary key	ownedid!	long	number(10)	i10	10	n	-1	-	cellid > 0	-	-
cell	geomodelid	foreign key	geomodelid	long	number(10)	i10	10	n	-1	-	-	-	-
cell	node0	foreign key	nodeid	long	number(10)	i10	10	n	-1	-	-	-	-
cell	node1	foreign key	nodeid	long	number(10)	i10	10	n	-1	-	-	-	-
cell	node2	foreign key	nodeid	long	number(10)	i10	10	n	-1	-	-	-	-
cell	node3	foreign key	nodeid	long	number(10)	i10	10	y	-1	-	-	-	-
eventterm	eventtermid	primary key	ownedid!	long	number(10)	i10	10	n	-1	-	eventtermid > 0	-	-
